Issue-link,Issue-Title,Type of Libraries
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1494,Support script plugins in files task,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1567,Support referencing base images from a manifest list,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/694,Use Gradle `changing` to determine snapshots,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1099,Automated cleanup of images built by integration tests in our GCP project,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/19,ErrorEntryTemplate should include detail field as well.,Containers
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/994,Create can-i-deploy maven plugin,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/940,Outdated docs,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/886,PACT documentation is not available,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/737,Support for @PactBroker etc. as Meta-Annotations in Spring,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/753,Pact broker specification has to be added twice if consumer and provider are specified in the same plugin configuration in pom.xml,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/691,interaction missing in generated json file,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/590,pactPublish: Unable to tag each pact file separately before publishing to pact-broker,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/384,Document usage of state in `@PactVerification`,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/243,XML body matching,Contracts
https://github.com/DiUS/pact-jvm,/DiUS/pact-jvm/issues/434,Provide option to run provider tests against ALL consumer versions.,Contracts
https://github.com/remkop/picocli,/remkop/picocli/issues/890,Manual/Quick guide: better support for first time users,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/812,Document how to test a picocli spring-boot application,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/894,Create simple test framework for testing JVM and native CLI apps,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/774,Allow long options to be left-aligned in usage help,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/714,Generate javadoc for picocli.jar with java 9+,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/749,Invoke IDefaultProvider only if needed,CLI
https://github.com/remkop/picocli,/remkop/picocli/issues/299,Generate MarkDown or AsciiDoc documentation,CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/480,"Commands with no description have the string ""null"" printed as their description when calling usage()",CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/461,Can't handle main argument that is a String as stated in the documentation,CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/442,Remove calls to java.lang.Class#newInstance(),CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/330,Documentation of @ syntax incomplete,CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/338,"Usage text needs explanation for ""*""",CLI
https://github.com/cbeust/jcommander,/cbeust/jcommander/issues/349,Better Error Message When Using Multiple Commands,CLI
https://github.com/lightbend/config,/lightbend/config/issues/650,Clarification on readme.md,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/622,Unnecessary repetition in an error message,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/565,Move documentation to Paradox,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/491,Expose comments on ConfigValues,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/380,Clear config list value from the command line,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/372,Add the absolute URL of resource.conf when it's loaded from the classpath,Configuration and Properties
https://github.com/lightbend/config,/lightbend/config/issues/342,Note about order of `reference.conf` resources loading during initialization of Config.,Configuration and Properties
https://github.com/lviggiano/owner,/lviggiano/owner/issues/229,Documentation inconsistency about cyphering,Configuration and Properties
https://github.com/lviggiano/owner,/lviggiano/owner/issues/116,Add relaxed binding like Spring Boot offers,Configuration and Properties
https://github.com/database-rider/database-rider,/database-rider/database-rider/issues/87,Adds Scriptable dataset docs to readme,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/1436,Document how to create custom qualifying annotations in developer guide,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/1023,Docs / Example: Provide example (repo) to show how to integrate jdbi3 in spring-boot,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/993,Improve documentation for SQL Arrays,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/1030,Factor out developer guide into separate files by section,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/1009,Documentation for OracleReturning class still uses 1-based index but class uses zero-base,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/983,jdbi3-spring4 plugin needs documentation / (rework?),Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/897,BindBean behaves unexpectedly for property names that start with single letters or acronyms,Database
https://github.com/jdbi/jdbi,/jdbi/jdbi/issues/813,Throw exception when attempting to configure generated keys after statement has been created,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9003,type of 'create' object in docs not present,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9647,Dead links to javax.validation,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9376,Document <fluentSetters/> in the manual,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9623,Update manual example about binding JSON types,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9087,Document CallbackExecuteListener,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9430,Document Spring's TransactionTemplate as an alternative,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/9637,Add an example Maven and Gradle project to the ZIP distribution,Database
https://github.com/jOOQ/jOOQ,/jOOQ/jOOQ/issues/8997,Update jOOQ-spring-example and documentation,Database
